FOODCODE	DESCRIPTION_f
11710677	Infant_formula_powder_made_with_tap_water_(Enfamil_Gentlease)
11710678	Infant_formula_powder_made_with_plain_bottled_water_(Enfamil_Gentlease)
11710679	Infant_formula_powder_made_with_baby_water_(Enfamil_Gentlease)
11710680	Infant_formula_NS_as_to_form_(Enfamil_Enfagrow_Toddler_Transitions)
11710681	Infant_formula_ready-to-feed_(Enfamil_Enfragrow_Toddler_Transitions)
11710683	Infant_formula_powder_made_with_water_NFS_(Enfamil_Enfragrow_Toddler_Transitions)
11710687	Infant_formula_powder_made_with_tap_water_(Enfamil_Enfagrow_Toddler_Transitions)
11710688	Infant_formula_powder_made_with_plain_bottled_water_(Enfamil_Enfagrow_Toddler_Transitions)
11710689	Infant_formula_powder_made_with_baby_water_(Enfamil_Enfagrow_Toddler_Transitions)
11710690	Infant_formula_NS_as_to_form_(Enfamil_Enfagrow_Toddler_Transitions_Gentlease)
11710693	Infant_formula_powder_made_with_water_NFS_(Enfamil_Enfagrow_Toddler_Transitions_Gentlease)
11710697	Infant_formula_powder_made_with_tap_water_(Enfamil_Enfagrow_Toddler_Transitions_Gentlease)
11710698	Infant_formula_powder_made_with_plain_bottled_water_(Enfamil_Enfagrow_Toddler_Transitions_Gentlease)
11710699	Infant_formula_powder_made_with_baby_water_(Enfamil_Enfagrow_Toddler_Transitions_Gentlease)
11710800	Infant_formula_NS_as_to_form_(PediaSure)
11710801	Infant_formula_ready-to-feed_(PediaSure)
11710805	Infant_formula_with_fiber_NS_as_to_form_(PediaSure_Fiber)
11710806	Infant_formula_with_fiber_ready-to-feed_(PediaSure_Fiber)
11710910	Infant_formula_NS_as_to_form_(Gerber_Good_Start_Gentle)
11710911	Infant_formula_ready-to-feed_(Gerber_Good_Start_Gentle)
11710912	Infant_formula_liquid_concentrate_made_with_water_NFS_(Gerber_Good_Start_Gentle)
11710913	Infant_formula_powder_made_with_water_NFS_(Gerber_Good_Start_Gentle)
11710914	Infant_formula_liquid_concentrate_made_with_tap_water_(Gerber_Good_Start_Gentle)
11710915	Infant_formula_liquid_concentrate_made_with_plain_bottled_water_(Gerber_Good_Start_Gentle)
11710916	Infant_formula_liquid_concentrate_made_with_baby_water_(Gerber_Good_Start_Gentle)
11710917	Infant_formula_powder_made_with_tap_water_(Gerber_Good_Start_Gentle)
11710918	Infant_formula_powder_made_with_plain_bottled_water_(Gerber_Good_Start_Gentle)
11710919	Infant_formula_powder_made_with_baby_water_(Gerber_Good_Start_Gentle)
11710920	Infant_formula_NS_as_to_form_(Gerber_Good_Start_Protect)
11710923	Infant_formula_powder_made_with_water_NFS_(Gerber_Good_Start_Protect)
11710927	Infant_formula_powder_made_with_tap_water_(Gerber_Good_Start_Protect)
11710928	Infant_formula_powder_made_with_plain_bottled_water_(Gerber_Good_Start_Protect)
11710929	Infant_formula_powder_made_with_baby_water_(Gerber_Good_Start_Protect)
11710930	Infant_formula_NS_as_to_form_(Gerber_Graduates_Gentle)
11710940	Infant_formula_NS_as_to_form_(Gerber_Graduates_Protect)
11710960	Infant_formula_NS_as_to_form_(Store_Brand)
11710961	Infant_formula_liquid_concentrate_made_with_water_NFS_(Store_Brand)
11710962	Infant_formula_powder_made_with_water_NFS_(Store_Brand)
11710963	Infant_formula_ready-to-feed_(Store_Brand)
11710964	Infant_formula_liquid_concentrate_made_with_tap_water_(Store_Brand)
11710965	Infant_formula_liquid_concentrate_made_with_plain_bottled_water_(Store_Brand)
11710966	Infant_formula_liquid_concentrate_made_with_baby_water_(Store_Brand)
11710967	Infant_formula_powder_made_with_tap_water_(Store_Brand)
11710968	Infant_formula_powder_made_with_plain_bottled_water_(Store_Brand)
11710969	Infant_formula_powder_made_with_baby_water_(Store_Brand)
11720310	Infant_formula_NS_as_to_form_(Enfamil_ProSobee)
11720311	Infant_formula_ready-to-feed_(Enfamil_ProSobee)
11720312	Infant_formula_liquid_concentrate_made_with_water_NFS_(Enfamil_ProSobee)
11720313	Infant_formula_powder_made_with_water_NFS_(Enfamil_ProSobee)
11720314	Infant_formula_liquid_concentrate_made_with_tap_water_(Enfamil_ProSobee)
11720315	Infant_formula_liquid_concentrate_made_with_plain_bottled_water_(Enfamil_ProSobee)
11720316	Infant_formula_liquid_concentrate_made_with_baby_water_(Enfamil_ProSobee)
11720317	Infant_formula_powder_made_with_tap_water_(Enfamil_ProSobee)
11720318	Infant_formula_powder_made_with_plain_bottled_water_(Enfamil_ProSobee)
11720319	Infant_formula_powder_made_with_baby_water_(Enfamil_ProSobee)
11720320	Infant_formula_NS_as_to_form_(Enfamil_Enfagrow_Toddler_Transitions_Soy)
11720323	Infant_formula_powder_made_with_water_NFS_(Enfamil_Enfagrow_Toddler_Transitions_Soy)
11720410	Infant_formula_NS_as_to_form_(Similac_Isomil_Soy)
11720411	Infant_formula_ready-to-feed_(Similac_Isomil_Soy)
11720412	Infant_formula_liquid_concentrate_made_with_water_NFS_(Similac_Isomil_Soy)
11720413	Infant_formula_powder_made_with_water_NFS_(Similac_Isomil_Soy)
11720414	Infant_formula_liquid_concentrate_made_with_tap_water_(Similac_Isomil_Soy)
11720415	Infant_formula_liquid_concentrate_made_with_plain_bottled_water_(Similac_Isomil_Soy)
11720416	Infant_formula_liquid_concentrate_made_with_baby_water_(Similac_Isomil_Soy)
11720417	Infant_formula_powder_made_with_tap_water_(Similac_Isomil_Soy)
11720418	Infant_formula_powder_made_with_plain_bottled_water_(Similac_Isomil_Soy)
11720419	Infant_formula_powder_made_with_baby_water_(Similac_Isomil_Soy)
11720430	Infant_formula_NS_as_to_form_(Similac_Expert_Care_for_Diarrhea)
11720431	Infant_formula_ready-to-feed_(Similac_Expert_Care_for_Diarrhea)
11720610	Infant_formula_NS_as_to_form_(Gerber_Good_Start_Soy)
11720611	Infant_formula_ready-to-feed_(Gerber_Good_Start_Soy)
11720612	Infant_formula_liquid_concentrate_made_with_water_NFS_(Gerber_Good_Start_Soy)
11720613	Infant_formula_powder_made_with_water_NFS_(Gerber_Good_Start_Soy)
11720614	Infant_formula_liquid_concentrate_made_with_tap_water_(Gerber_Good_Start_Soy)
11720615	Infant_formula_liquid_concentrate_made_with_plain_bottled_water_(Gerber_Good_Start_Soy)
11720616	Infant_formula_liquid_concentrate_made_with_baby_water_(Gerber_Good_Start_Soy)
11720617	Infant_formula_powder_made_with_tap_water_(Gerber_Good_Start_Soy)
11720618	Infant_formula_powder_made_with_plain_bottled_water_(Gerber_Good_Start_Soy)
11720619	Infant_formula_powder_made_with_baby_water_(Gerber_Good_Start_Soy)
11720620	Infant_formula_NS_as_to_form_(Gerber_Graduates_Soy)
11720800	Infant_formula_NS_as_to_form_(Store_Brand_Soy)
11720801	Infant_formula_ready-to-feed_(Store_brand_Soy)
11720802	Infant_formula_liquid_concentrate_made_with_water_NFS_(Store_Brand_Soy)
11720803	Infant_formula_powder_made_with_water_NFS_(Store_Brand_Soy)
11720807	Infant_formula_powder_made_with_tap_water_(Store_Brand_Soy)
11720808	Infant_formula_powder_made_with_plain_bottled_water_(Store_Brand_Soy)
11720809	Infant_formula_powder_made_with_baby_water_(Store_Brand_Soy)
11740310	Infant_formula_NS_as_to_form_(Enfamil_Nutramigen)
11740311	Infant_formula_ready-to-feed_(Enfamil_Nutramigen)
11740312	Infant_formula_liquid_concentrate_made_with_water_NFS_(Enfamil_Nutramigen)
11740313	Infant_formula_powder_made_with_water_NFS_(Enfamil_Nutramigen)
11740320	Infant_formula_NS_as_to_form_(PurAmino)
11740323	Infant_formula_powder_made_with_water_NFS_(PurAmino)
11740400	Infant_formula_NS_as_to_form_(Enfamil_Pregestimil)
11740401	Infant_formula_ready-to-feed_(Enfamil_Pregestimil)
11740403	Infant_formula_powder_made_with_water_NFS_(Enfamil_Pregestimil)
11740511	Infant_formula_ready-to-feed_low_iron_(Enfamil_Premature_20_Cal)
11740521	Infant_formula_ready-to-feed_with_iron_(Enfamil_Premature_20_Cal)
11810000	Milk_dry_not_reconstituted_NS_as_to_fat_content
11811000	Milk_dry_not_reconstituted_whole
11812000	Milk_dry_not_reconstituted_low_fat_(1_)
11813000	Milk_dry_not_reconstituted_fat_free_(skim)
11825000	Whey_sweet_dry
11830100	Hot_chocolate__Cocoa_dry_mix_not_reconstituted
11830115	Hot_chocolate__Cocoa_dry_mix_no_sugar_added_not_reconstituted
11830150	Cocoa_powder_not_reconstituted
11830160	Chocolate_beverage_powder_dry_mix_not_reconstituted
11830165	Chocolate_beverage_powder_reduced_sugar_dry_mix_not_reconstituted
11830260	Milk_malted_dry_mix_not_reconstituted
11830400	Strawberry_beverage_powder_dry_mix_not_reconstituted
12100100	Cream_NS_as_to_light_heavy_or_half_and_half
12110100	Cream_light
12120100	Cream_half_and_half
12120106	Cream_half_and_half_flavored
12120110	Cream_half_and_half_fat_free
12130100	Cream_heavy
12140000	Cream_whipped
12200100	Coffee_creamer_NFS
12210200	Coffee_creamer_liquid
12210210	Coffee_creamer_liquid_flavored
12210260	Coffee_creamer_liquid_fat_free
12210270	Coffee_creamer_liquid_fat_free_flavored
12210280	Coffee_creamer_liquid_fat_free_sugar_free_flavored
12210310	Coffee_creamer_liquid_sugar_free_flavored
12210400	Coffee_creamer_powder
12210420	Coffee_creamer_powder_flavored
12210430	Coffee_creamer_powder_fat_free
12210440	Coffee_creamer_powder_fat_free_flavored
12210505	Coffee_creamer_powder_sugar_free_flavored
12210520	Coffee_creamer_soy_liquid
12220200	Whipped_topping
12220270	Whipped_topping_fat_free
12220280	Whipped_topping_sugar_free
12310100	Sour_cream
12310200	Sour_cream_half_and_half
12310300	Sour_cream_reduced_fat
12310350	Sour_cream_light
12310370	Sour_cream_fat_free
12320100	Sour_cream_imitation
12350010	Dip_NFS
12350200	Chipotle_dip_regular
12350205	Chipotle_dip_light
12350210	Dill_dip_regular
12350215	Dill_dip_light
12350220	Onion_dip_regular
12350225	Onion_dip_light
12350230	Ranch_dip_regular
12350235	Ranch_dip_light
12350240	Spinach_dip_regular
12350245	Spinach_dip_light
12350250	Vegetable_dip_regular
12350255	Vegetable_dip_light
13110000	Ice_cream_NFS
13110100	Ice_cream_regular_flavors_other_than_chocolate
13110110	Ice_cream_regular_chocolate
13110120	Ice_cream_rich_flavors_other_than_chocolate
13110130	Ice_cream_rich_chocolate
13110140	Ice_cream_rich_NS_as_to_flavor
13110200	Ice_cream_soft_serve_flavors_other_than_chocolate
13110210	Ice_cream_soft_serve_chocolate
13110220	Ice_cream_soft_serve_NS_as_to_flavor
13110310	Ice_cream_no_sugar_added_NS_as_to_flavor
13110320	Ice_cream_no_sugar_added_flavors_other_than_chocolate
