"DRXFDCD"	"DRXFCSD"	"DRXFCLD"
73201030	"PUMPKIN, COOKED, FROM FROZEN, MADE WITH OIL"	"Pumpkin, cooked, from frozen, made with oil"
73201031	"PUMPKIN, COOKED, FROM FROZEN, MADE WITH BUTTER"	"Pumpkin, cooked, from frozen, made with butter"
73201032	"PUMPKIN, COOKED, FROM FROZEN, MADE WITH MARGARINE"	"Pumpkin, cooked, from frozen, made with margarine"
73201033	"PUMPKIN, COOKED, FROM CANNED, MADE WITH OIL"	"Pumpkin, cooked, from canned, made with oil"
73201034	"PUMPKIN, COOKED, FROM CANNED, MADE WITH BUTTER"	"Pumpkin, cooked, from canned, made with butter"
73201035	"PUMPKIN, COOKED, FROM CANNED, MADE WITH MARGARINE"	"Pumpkin, cooked, from canned, made with margarine"
73210010	"CALABAZA, COOKED"	"Calabaza, cooked"
73210110	"PUMPKIN FRITTERS, PUERTO RICAN STYLE"	"Pumpkin fritters, Puerto Rican style"
73211110	"SWEET POTATO AND PUMPKIN CASSEROLE, PUERTO RICAN STYLE"	"Sweet potato and pumpkin casserole, Puerto Rican style"
73301000	"SQUASH, WINTER TYPE, MASHED, NS AS TO FAT OR SUGAR ADDED IN"	"Squash, winter type, mashed, NS as to fat or sugar added in cooking"
73301010	"SQUASH, WINTER TYPE, MASHED, NO FAT OR SUGAR ADDED IN COOKIN"	"Squash, winter type, mashed, no fat or sugar added in cooking"
73301020	"SQUASH, WINTER TYPE, MASHED, FAT ADDED IN COOKING, NO SUGAR"	"Squash, winter type, mashed, fat added in cooking, no sugar added in cooking"
73301030	"SQUASH, WINTER TYPE, MASHED, FAT AND SUGAR ADDED IN COOKING"	"Squash, winter type, mashed, fat and sugar added in cooking"
73302010	"SQUASH, WINTER TYPE, RAW"	"Squash, winter type, raw"
73303000	"SQUASH, WINTER TYPE, BAKED, NS AS TO FAT OR SUGAR ADDED IN C"	"Squash, winter type, baked, NS as to fat or sugar added in cooking"
73303010	"SQUASH, WINTER TYPE, BAKED, NO FAT OR SUGAR ADDED IN COOKING"	"Squash, winter type, baked, no fat or sugar added in cooking"
73303020	"SQUASH, WINTER TYPE, BAKED, FAT ADDED IN COOKING, NO SUGAR A"	"Squash, winter type, baked, fat added in cooking, no sugar added in cooking, NS as to type of fat"
73303021	"SQUASH, WINTER TYPE, BAKED, NO SUGAR ADDED IN COOKING, MADE"	"Squash, winter type, baked, no sugar added in cooking, made with oil"
73303022	"SQUASH, WINTER TYPE, BAKED, NO SUGAR ADDED IN COOKING, MADE"	"Squash, winter type, baked, no sugar added in cooking, made with butter"
73303023	"SQUASH, WINTER TYPE, BAKED, NO SUGAR ADDED IN COOKING, MADE"	"Squash, winter type, baked, no sugar added in cooking, made with margarine"
73303030	"SQUASH, WINTER TYPE, BAKED, FAT AND SUGAR ADDED IN COOKING"	"Squash, winter type, baked, fat and sugar added in cooking"
73303040	"SQUASH, WINTER TYPE, BAKED, NO FAT ADDED IN COOKING, SUGAR A"	"Squash, winter type, baked, no fat added in cooking, sugar added in cooking"
73304010	"SQUASH FRITTER OR CAKE"	"Squash fritter or cake"
73305010	"SQUASH, WINTER, BAKED WITH CHEESE"	"Squash, winter, baked with cheese"
73305020	"SQUASH, WINTER, SOUFFLE"	"Squash, winter, souffle"
73401000	"SWEET POTATO, NFS"	"Sweet potato, NFS"
73402000	"SWEET POTATO, BAKED, PEEL EATEN, NS AS TO FAT ADDED IN COOKI"	"Sweet potato, baked, peel eaten, NS as to fat added in cooking"
73402010	"SWEET POTATO, BAKED, PEEL EATEN, FAT NOT ADDED IN COOKING"	"Sweet potato, baked, peel eaten, fat not added in cooking"
73402020	"SWEET POTATO, BAKED, PEEL EATEN, FAT ADDED IN COOKING, NS AS"	"Sweet potato, baked, peel eaten, fat added in cooking, NS as to type of fat"
73402021	"SWEET POTATO, BAKED, PEEL EATEN, MADE WITH OIL"	"Sweet potato, baked, peel eaten, made with oil"
73402022	"SWEET POTATO, BAKED, PEEL EATEN, MADE WITH BUTTER"	"Sweet potato, baked, peel eaten, made with butter"
73402023	"SWEET POTATO, BAKED, PEEL EATEN, MADE WITH MARGARINE"	"Sweet potato, baked, peel eaten, made with margarine"
73403000	"SWEET POTATO, BAKED, PEEL NOT EATEN, NS AS TO FAT ADDED IN C"	"Sweet potato, baked, peel not eaten, NS as to fat added in cooking"
